Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
208,50043335,John FitzPatrick,GA,TE,1,CLMSN,1,0,0,0,0,0,0,0,0,0,0,0
208,50024432,Dexter Carter Jr.,GAS,TE,1,GARDWB,0,0,0,0,0,0,0,0,0,0,0,0
208,50023481,Aubry Payne,GAST,TE,1,ARMY,0,0,0,0,0,0,0,0,0,0,0,0
208,50032386,Caleb Phillips,HAWAII,TE,1,PORTST,0,0,0,0,0,0,0,0,0,0,0,0
208,50011318,Johnny Huntley,LIBRTY,TE,1,CAMP,0,0,0,0,0,0,0,0,0,0,0,0
208,50031435,Gene Scott,MONM,TE,1,MTNST,0,0,0,0,0,0,0,0,0,0,0,0
208,50036942,Cole McCrary,NTX,TE,1,NWST,0,0,0,0,0,0,0,0,0,0,0,0
208,50008363,Adam Luehrman,OHIO,TE,1,SYRA,0,0,0,0,0,0,0,0,0,0,0,0
208,50002830,Brandon Chapman,OLD,TE,1,WAKE,0,0,0,0,0,0,0,0,0,0,0,0
208,50060404,Cooper Shults,ORE,TE,1,FREST,0,0,0,0,0,0,0,0,0,0,0,0
208,50048257,Brenton Strange,PENNST,TE,1,WISC,0,0,0,0,0,0,0,0,0,0,0,0
208,50061444,Aaron Greene,SDST,TE,1,NMXST,0,0,0,0,0,0,0,0,0,0,0,0
208,50027929,Tucker Fisk,STAN,TE,1,KANST,0,0,0,0,0,0,0,0,0,0,0,0
208,50053973,Hunter Brown,STFPA,TE,1,EMICH,0,0,0,0,0,0,0,0,0,0,0,0
208,50054686,James Della Pesca,TEMPL,TE,1,RUTGER,0,0,0,0,0,0,0,0,0,0,0,0
208,50048580,Hunter Salmon,TENN,TE,1,BOWLGR,0,0,0,0,0,0,0,0,0,0,0,0
208,50050060,Alex Enders,TOLEDO,TE,1,NORFST,0,0,0,0,0,0,0,0,0,0,0,0
208,50061216,Michael Ambagtsheer,UCDV,TE,1,TULSA,0,0,0,0,0,0,0,0,0,0,0,0
208,50032553,Jake Hescock,UCF,TE,1,BOISE,0,0,0,0,0,0,0,0,0,0,0,0
208,50039969,David Priebe,UCLA,TE,1,HAWAII,0,0,0,0,0,0,0,0,0,0,0,0
208,50019986,Daniel Godfrey,UNLV,TE,1,EWASH,0,0,0,0,0,0,0,0,0,0,0,0
208,50055478,Josh Sterzer,UTAHST,TE,1,WASHST,1,0,0,0,0,0,0,0,0,0,0,0
208,50065213,Parker Buchanan,UTAHST,TE,1,WASHST,0,0,0,0,0,0,0,0,0,0,0,0
208,50065218,Jackson Rigby,UTAHST,TE,1,WASHST,0,0,0,0,0,0,0,0,0,0,0,0
208,50048400,Oscar Cardenas,UTSA,TE,1,ILL,0,0,0,0,0,0,0,0,0,0,0,0
208,50063313,Gavin Ellis,WAKE,TE,1,OLD,0,0,0,0,0,0,0,0,0,0,0,0
208,50044508,Joey Beljan,WKENT,TE,1,TMRT,0,0,0,0,0,0,0,0,0,0,0,0
242,50048219,Garrett Miller,PUR,TE,1,OREGST,1,-1,0,-1,-1,0,0,0,0,0,0,-0.1
